h0,h1,h2,h3,h4
0.0031091740204203765,-0.6458455534254318,0.641882696137907,-0.5970200731118318,-0.4679616927875412
-0.09591993514660481,-1.0151372759907573,0.8855479758341451,-0.7670800203612265,-0.8590322490372748
-0.2843546787561525,-1.2008611598483856,0.8725462888420675,-0.6815670508047025,-1.1653158403634962
-0.5469885562147384,-1.274451616097362,0.7589520653404606,-0.5272796534195363,-1.3560025718891957
-0.8759698693895116,-1.315806991686759,0.6296611720320755,-0.3627995055035918,-1.468279201390425
-1.2063691658765674,-1.353971130520765,0.503454396363761,-0.20368278174027382,-1.53382209147866
-1.4826411682762954,-1.385526565851152,0.4142920994910035,-0.07647982179500927,-1.5573709546069587
-1.7339353422437935,-1.4151159648787917,0.4088379785100847,-0.0011859304707284308,-1.5667706159789045
-1.9523084828603559,-1.4511537422784218,0.45270607432420384,0.037994533178161774,-1.5842362465728486
-2.126090543316608,-1.4941200006658408,0.5215661972576892,0.028453830400620397,-1.5821234122958667
-2.2403244874319075,-1.5304056124804848,0.6158672704926011,0.020615968625934337,-1.5962158306109058
-2.325249490771239,-1.5862478821646089,0.7041173041695596,0.005383531993411816,-1.6163261949384493
-2.3729975822163643,-1.6175182728508244,0.7560489466763084,-0.023522856943120375,-1.6607406772427906
-2.4077219908019822,-1.6743934118750075,0.8373626583820051,-0.05961783040454878,-1.6850704095691313
-2.4379399123356866,-1.7105123020849446,0.906186172124505,-0.09541997200039413,-1.7416027289590317
-2.4624997555285226,-1.725587291543499,0.9761429962014325,-0.12296914574841974,-1.7769118207132262
-2.464531283487115,-1.7360882075912305,1.02295760658566,-0.16463736763779876,-1.8387239379078615
-2.4435322427946464,-1.7579733609024693,1.0548058363494177,-0.19519616564787742,-1.8546403139497512
-2.458336885700463,-1.773951122019581,1.100533656233018,-0.19500351816542652,-1.9083474510950447
-2.4720049277626055,-1.8092467246791906,1.1032292689811707,-0.22438739733553548,-1.951864063599521
-2.480410922676095,-1.8218387468861226,1.1050348265774368,-0.25666234387059955,-1.9681499000684148
-2.479700064554018,-1.8360911955340453,1.1162484820837821,-0.2787770424655564,-1.995016174544296
-2.48678176137626,-1.8647527027149717,1.143478415640939,-0.2697138151373536,-2.0001188994246712
-2.4688218606815715,-1.8586868389682862,1.1142665719228932,-0.27490640782909664,-2.0026144872470377
-2.4751685302261652,-1.8775537243142644,1.123841458699114,-0.2535508163384467,-2.0075099786591566
-2.4797515333253872,-1.8651975176587199,1.12356363864696,-0.2539801933526178,-2.0158547452037183
-2.485049904427915,-1.8803368405586482,1.1225363711574488,-0.2773463489255817,-2.0393656978737895
-2.4813306250056706,-1.8778187209744166,1.1377101828074436,-0.24846832779122857,-2.029748976173821
-2.4608213578713203,-1.8642290463866302,1.1610443583955952,-0.26723933313731724,-2.041523383082146
-2.468924232298018,-1.8856711605156415,1.1759739394211846,-0.2600126620565854,-2.0344788946051535
-2.4625712756195637,-1.873763800039716,1.1524270572210893,-0.2534963378229099,-2.027185234487453
-2.4653662002140453,-1.8682410163641958,1.1531039730997756,-0.2508626710666104,-2.0391909051306762
-2.4687663138500238,-1.8826846724129824,1.1645255224358326,-0.24795483061787246,-2.0525680786452565
-2.4721594238064397,-1.8871054697980132,1.1551424653107782,-0.23907442365342385,-2.0518869436803544
-2.4859812663447425,-1.8922344620366442,1.1585654012055036,-0.22896967359401496,-2.0537102291308615
-2.4798324879088836,-1.9055964757078474,1.1625271922970413,-0.24555289160654578,-2.070692451590012
-2.46834970053468,-1.902539245158939,1.1619306611539264,-0.258991070139413,-2.061553184178194
-2.4799477621374413,-1.8979363078271563,1.1578128120702738,-0.2699398145933144,-2.0552416068420443
-2.4674536171113295,-1.8825000841412838,1.1622285785139554,-0.2506203657740415,-2.05638591538148
-2.455980463822143,-1.8916519229545035,1.1601714324517607,-0.24549382982845983,-2.0579708352248725
-2.4451622916353735,-1.909849455143318,1.1823017450482576,-0.23149798327994708,-2.0715572943751766
-2.449216967314276,-1.9005388486973147,1.1909951985532148,-0.25450421928037065,-2.0555843812836163
-2.460702290040206,-1.9104330630381512,1.1963063321977672,-0.2719015040644136,-2.065781765843487
-2.4604370049916815,-1.90285219854587,1.1835764689563153,-0.2651229068162933,-2.06098181195515
-2.455089628655109,-1.8969175524822242,1.1833175493586223,-0.2723659393689943,-2.068856611992183
-2.4619218199664763,-1.905932374372694,1.1776964031863848,-0.2626385757840041,-2.0848655954359807
-2.4656623142405656,-1.9059317941633742,1.1752813993596463,-0.2626830988134372,-2.0718065472132685
-2.4741383176665614,-1.9098689016333592,1.1698418688003416,-0.2640355268553364,-2.054781905212665
-2.447709839621393,-1.9066459092227188,1.1570573846900098,-0.25793810290599717,-2.0588012838988465
-2.4420349431751815,-1.912790773153648,1.149983581550048,-0.27667784215270735,-2.0623432739055914
-2.427106889602288,-1.9197707102978265,1.170753475345209,-0.2734023405047681,-2.0535175700219424
-2.437735683137074,-1.9150178260840165,1.1790108098759173,-0.2589995768291999,-2.0511033505996084
-2.444945980690266,-1.9062583468265615,1.177931882397331,-0.2741327073629875,-2.0465354197602137
-2.447860229006958,-1.9067246515081735,1.179276903054466,-0.28660859143531653,-2.0453633100269633
-2.444845102037837,-1.8948611427990247,1.201313294417894,-0.2774284640077641,-2.030579123017365
-2.4443778511114735,-1.8925391514283927,1.1915648638446485,-0.2804194866443793,-2.042729609094748
-2.4457893343553008,-1.9125329215742806,1.1956634430711905,-0.2758797246300437,-2.06161354839703
-2.463452623363208,-1.9183768732055062,1.2029638167538232,-0.2835821062966065,-2.0730993450290476
-2.466121937064809,-1.9159194812337554,1.197462604942528,-0.3023195284902628,-2.0757453302318525
-2.4673026733288466,-1.9190969695340825,1.2073161850322676,-0.28123182426445686,-2.078984992739459
-2.4791948251879483,-1.9352702041404253,1.1832043212776069,-0.27762868674347985,-2.0949972816290257
-2.4740527983316776,-1.9145223369055981,1.2059456807185425,-0.30194801591807274,-2.0758343519897027
-2.474945489063732,-1.9254081173556807,1.2028210568706281,-0.2771247499705369,-2.079971864132302
-2.4802472768860864,-1.92159418891944,1.1911678624310844,-0.2659654789467185,-2.0618585744928586
-2.474585302059389,-1.9270611007132061,1.1834676022089978,-0.2547836319695441,-2.0773411359273335
-2.4648806906681777,-1.8969640012827023,1.201246400332006,-0.25753604318207896,-2.084931107210221
-2.470101701310335,-1.9023843077616929,1.1865093665416313,-0.26672480727634507,-2.0906160220023238
-2.462858769240423,-1.9046527759277343,1.1918447355744133,-0.26367737422740334,-2.0889690440673117
-2.464429380595343,-1.9051871692861813,1.1613263987681122,-0.274856086194369,-2.0846924400511786
-2.4604120625742256,-1.9178737041499079,1.1578711380295408,-0.2931466112041275,-2.105381389938727
-2.4543877986315885,-1.930036751991982,1.1672469518685795,-0.2935074196025717,-2.0945055546143587
-2.4504864513775297,-1.9217145877769326,1.165420298912419,-0.2873986568418174,-2.088554370238666
-2.4468606651693463,-1.918783700250318,1.1623567763534473,-0.28208975108127093,-2.083929363162715
-2.446996902613812,-1.9045792756312578,1.1793037276509246,-0.27804140290609286,-2.067997482228538
-2.4377579062451398,-1.896295626512833,1.1937712599152162,-0.27911996550942036,-2.0638340907138115
-2.446986525444688,-1.9079157508128126,1.1846288027623675,-0.2631366714823569,-2.086469883428757
-2.4287226275963816,-1.9085192700019555,1.188388753714524,-0.27214059364403015,-2.095342891308729
-2.437971771701498,-1.9316062820021789,1.1889549367168235,-0.2664382212091699,-2.100055757845852
-2.432710487869077,-1.926772194242478,1.184581310864421,-0.265003704859216,-2.092171861366576
-2.4286859476690745,-1.9300616170638127,1.1758479716360941,-0.2850656863856722,-2.098304106523419
-2.440746872123204,-1.9289299220798435,1.1550076378118164,-0.2955723945171084,-2.0715408308323866
-2.437176835427244,-1.9118406251794724,1.1581029598459456,-0.2875221444056044,-2.078041048948406
-2.448923870062607,-1.9057971694898599,1.1570665187267601,-0.2922267025053238,-2.0754512162793404
-2.4354365839336563,-1.910087023531541,1.1628049783070364,-0.2810793690075208,-2.07768332077679
-2.4427237783119757,-1.9124277986406704,1.142281485112905,-0.27744695669812136,-2.064719278377655
-2.435370166169731,-1.9167670642369705,1.1418681099356107,-0.28445259069176404,-2.0684551979008177
-2.433756847377551,-1.9101616995994355,1.1589185459227067,-0.2945131555163203,-2.074636577737989
-2.4476791308115238,-1.9146536426740903,1.1555035729133274,-0.2590834562949014,-2.087932206726023
-2.457371376289172,-1.909047306533359,1.1446725369483681,-0.2541005346760177,-2.0636368661664175
-2.472867564261512,-1.8885906604465408,1.159000549223593,-0.251376114861567,-2.090264270147318
-2.469522957601371,-1.8919356782257941,1.1673384470458756,-0.26333322070081344,-2.0828030742693544
-2.460612191445008,-1.9161385410775886,1.1749331319135738,-0.25803971310907764,-2.0624837621329717
-2.447328839075904,-1.9210786062597212,1.1823140721879344,-0.2599565391221473,-2.0468345715985894
-2.43855249536826,-1.9169523579611756,1.1832156240466116,-0.25846853474430787,-2.047438900764413
-2.4432548636863958,-1.8994372593012312,1.1802091060876334,-0.2522050091372697,-2.048715888899966
-2.4445127828762074,-1.9021893293291516,1.1626830012911071,-0.24348114929868636,-2.0636526842791527
-2.4619304708358674,-1.9034972694809924,1.1756517736564425,-0.28140880921427724,-2.065626776728397
-2.4373272227289657,-1.923285084349519,1.1930705381101783,-0.29721130430470094,-2.067000786752197
-2.425107123242462,-1.9052263308917488,1.187604201728597,-0.29680152478483746,-2.05944663936342
-2.450256727590076,-1.9071251468263293,1.1851684804300109,-0.29389271447056164,-2.078448841126627
-2.4569381942863506,-1.9038305837126028,1.1857442770904856,-0.30009160511328925,-2.0884177195417246
-2.456230455660931,-1.92137109961069,1.1693046098605764,-0.29791863834900223,-2.0964973407140515
-2.45332338759298,-1.9109352640456387,1.1625102888705316,-0.2916552325601183,-2.0770457964033615
-2.4511195605131415,-1.9216885667499146,1.1832949655863338,-0.28117598779411257,-2.0746345527798313
-2.4640570236489627,-1.9219071725409083,1.157002515687658,-0.28154399817290227,-2.0714338420958045
-2.4530500760138367,-1.909218872119772,1.1547654280897521,-0.2788454880642841,-2.080856546201837
-2.4482987841142916,-1.9142400130929542,1.1524533396511973,-0.258222426897325,-2.0602883709796873
-2.448734122243247,-1.8988775024519027,1.1638360112076904,-0.27510641776634487,-2.073210165795903
-2.4545724100351527,-1.9013858800404648,1.1712708456311183,-0.2770539433814681,-2.0727199785721178
-2.4457162297800266,-1.9278239999836213,1.1858016142878174,-0.27641854192309145,-2.0654988473778797
-2.4287789809377314,-1.9151521177222006,1.1856552674142855,-0.27191722547078334,-2.071774566726209
-2.42815854645154,-1.904986233375798,1.191850428358821,-0.29644579053553816,-2.0821767523031482
-2.444534702249576,-1.8980668881771174,1.178636801673234,-0.2948225147594735,-2.0524911166410766
-2.4554030596732566,-1.8888314335867404,1.2013494030233718,-0.29102144323936746,-2.0660301583210967
-2.4613602436900353,-1.8881603988291302,1.1982374407487302,-0.30307516348272834,-2.070074649437608
-2.437970876569528,-1.893657110462927,1.197691951411237,-0.2988383621937412,-2.0730856636249033
-2.4311970342858475,-1.9143866338174165,1.1978769461031282,-0.2963155696511493,-2.073938714369212
-2.4531898238668797,-1.8937683327703898,1.1756074251314004,-0.2728277176709803,-2.092713815580175
-2.451139645639201,-1.9030379807707953,1.1749090842456698,-0.28666310346609136,-2.096786049479175
-2.4398298818287643,-1.9030767225727303,1.1745587506080926,-0.2741638063380181,-2.078696778937044
-2.454813175697761,-1.915278176833491,1.1787047230701309,-0.2679771929129544,-2.112612003560944
-2.4571681865763417,-1.9049481028213748,1.1691158110017827,-0.28274784915966844,-2.097444075636904
-2.4460488974510493,-1.8982602489803038,1.1531840965385287,-0.27570102060187424,-2.074781568060177
-2.449061148709793,-1.8979827566589222,1.179549848332672,-0.27235201523156405,-2.0863328801532286
-2.449699617625717,-1.8975744073619922,1.1675145727745377,-0.28039569765977207,-2.077611120102654
-2.4463865131211593,-1.8997933858857414,1.1628370424874077,-0.25285061280607035,-2.075939891643961
-2.435749454472405,-1.9246617446996943,1.169144031115156,-0.25227724226167747,-2.0625168143062718
-2.4300504719411404,-1.9157455092145614,1.1562031585470811,-0.25084929592079386,-2.0521770594195554
-2.428362461985305,-1.8995299780103474,1.1680428590328924,-0.24073067118978905,-2.05680870454881
-2.4429164337522007,-1.9084486421608013,1.185056134194756,-0.24634209163995316,-2.0683357371686886
-2.431425881345785,-1.894174880876465,1.1667414686475537,-0.2526613084923747,-2.0696644671886815
-2.4358002136084758,-1.8981697047059396,1.1720851762168962,-0.2627462025967145,-2.063176741952077
-2.4368650240593057,-1.8938532653720077,1.1525441802008707,-0.2528337907347256,-2.061026341307218
-2.433486445411822,-1.8979927512503905,1.159814787260605,-0.24719743254859308,-2.073289092481824
-2.4309004750923062,-1.901705885890818,1.1623202914496122,-0.261548711614637,-2.059379932138044
-2.434455909356704,-1.8954317277453443,1.199382813058315,-0.26403108209231213,-2.0476680998190724
-2.4237467328785547,-1.9061477772463977,1.1981025216149839,-0.2879786867557272,-2.0669117697647836
-2.4340269254069753,-1.8973834071673723,1.202861424598547,-0.28543230661183927,-2.063579958844234
-2.439227945402318,-1.8841294554793342,1.1941916248904882,-0.2766525748004156,-2.062746881496435
-2.451368258784503,-1.8846701437241034,1.2031918749889787,-0.27852233034863605,-2.0675482855193623
-2.434098252290219,-1.9024562994356815,1.1903108652846528,-0.28326394064134097,-2.0507129386953595
-2.442855963748194,-1.9093672921664666,1.1852271885866663,-0.29345803545472415,-2.0382603121316785
-2.425261235487451,-1.9088664218837514,1.1774186550037145,-0.30371663603512805,-2.0541555935586677
-2.4178613126614894,-1.9091348967042758,1.1644463266939125,-0.29891721290907625,-2.067556584632411
-2.4118855620041115,-1.921647267818177,1.1587314459344236,-0.30829039496802574,-2.0429660560948406
-2.4349664884422624,-1.930487341549073,1.1398276738277144,-0.2871099767452963,-2.0464158131212216
