h0,h1,h2,h3,h4
-2.436420896940079,-1.91488564228987,1.232001012946528,-0.13244868292030865,-2.0575943781625923
-2.4496861984871905,-1.9172313942400072,1.2256974392140503,-0.1333934216278184,-2.055724256262453
-2.4462279843757333,-1.892972718935403,1.2169544426185808,-0.17918230213404715,-2.063583633245292
-2.4477266960479604,-1.888494613562114,1.223723476604899,-0.21234539593513863,-2.066830903704145
-2.4393891106362204,-1.877476592795328,1.2131899950912273,-0.22298353854023611,-2.0538298065929492
-2.4629546512546776,-1.8815035608735944,1.1890026152367394,-0.22330726863096312,-2.067304693295026
-2.4877726002922125,-1.868026023158536,1.1764153774312331,-0.24735502765631917,-2.0755164843190346
-2.484464758537805,-1.881994687104636,1.1879249163253962,-0.27105487259698957,-2.0849989627456305
-2.485990090191724,-1.8750939179316333,1.1910090313677533,-0.30166238983351346,-2.0788567463937166
-2.499772738229835,-1.8618395472646012,1.1977329617889074,-0.33806855383147955,-2.073485880153669
-2.517524562177702,-1.846737165421869,1.1901124638117817,-0.3816288883005879,-2.088864717944245
-2.5092821462946833,-1.8646969579203128,1.1842331429906294,-0.399273660156406,-2.106316284577845
-2.5076847192542617,-1.8410850490233677,1.1871258305908663,-0.4191628261673245,-2.108754222991708
-2.4929191234089716,-1.83581416018102,1.1713364236638097,-0.4343914428546442,-2.098190047064502
-2.515590406717159,-1.8303116991907615,1.1805296409408803,-0.45263396286061125,-2.1275130997755034
-2.5479992107654175,-1.8222988496732142,1.1679653881040832,-0.47077996091481766,-2.119474654098666
-2.544310657523658,-1.819400137688978,1.1567495565100139,-0.476667588854446,-2.1224877127597215
-2.538372921609391,-1.8272674908713842,1.1544822560847667,-0.503916164713064,-2.1148280668723536
-2.510846209486136,-1.8302866828265945,1.1559739724882174,-0.5129198095546139,-2.105538829642596
-2.505590025478415,-1.8283526672221282,1.1584934879888034,-0.5483232554979857,-2.1188969934932516
-2.523321464641594,-1.7971208364452336,1.161164518144186,-0.5280369407152907,-2.0995050942493654
-2.547136692671357,-1.7998957661066817,1.1681167689887502,-0.5499900820702222,-2.114245263950395
-2.5320142610974417,-1.788116039966504,1.1530316992612448,-0.5605189652838,-2.1038012554955254
-2.547457368682291,-1.8077780643424899,1.1505218453081012,-0.5477442500367578,-2.107915365266182
-2.5546145759780208,-1.7915988320755698,1.1524947370689183,-0.5611012270400363,-2.104593164259971
-2.5579942452230893,-1.7963845788982866,1.161864326564251,-0.5892474203431504,-2.1125499763169753
-2.557683126298806,-1.7862388639641789,1.159694600171684,-0.5910805081205504,-2.1143303745117885
-2.553220670602445,-1.785782133637686,1.1356986938122697,-0.6016549398511271,-2.1184239471386253
-2.5515892670198603,-1.7711544958163385,1.1285113512026026,-0.5956084826738807,-2.127434533344678
-2.5698769767220293,-1.7679416472735225,1.1255374367361068,-0.5806931169360396,-2.118894613660115
-2.551797508842588,-1.7788221573914251,1.1328731206923186,-0.5918686060936403,-2.1180235327806605
-2.55072520303404,-1.7851814091325005,1.121895687688348,-0.5867173613508905,-2.114114123396805
-2.536334712566982,-1.790428173431561,1.1346528086789098,-0.5866241991086872,-2.108581282671324
-2.52952132091367,-1.7883903766559957,1.104752229086037,-0.5903503707126011,-2.094884834064103
-2.5105037966419066,-1.7968525593493272,1.110214213156946,-0.5674153016080627,-2.10143138109305
-2.5284053163446254,-1.785629804786502,1.107675577370358,-0.5471812943109405,-2.115581480130603
-2.525283144356141,-1.8010501998025215,1.1198200666779183,-0.5525627979227613,-2.120996831763233
-2.5182446903527556,-1.8301358436280017,1.1163553016097172,-0.5238484556797806,-2.1220518095782936
-2.5157083677868717,-1.8350574984450776,1.1244557893043328,-0.520382064340782,-2.121058625175377
-2.516457372994212,-1.8516977776867702,1.1443067933161313,-0.509058773395285,-2.0996835917637098
